Source	Configs	t_int	R.A. Optical	Decl. Optical	R.A. CO Peak	Decl. CO Peak	z_CO	CO Beam Size	
EGS12004280	D	5.2	14^h17^m00.s9	52^d27'01."3	14^h17^m00.s9	52^d27'01."3	1.023	2."8 x 2."5	
EGS12004351	D	5.2	14^h17^m02.s0	52^d26'58."5	14^h17^m01.s8	52^d27'00."2	1.017	2."8 x 2."4	
EGS12004754	C	5.4	14^h16^m42.s1	52^d25'19."1	14^h16^m42.s0	52^d25'18."4	1.026	1."6 x 1."4	
EGS12007881	ABCD	9.4	14^h18^m03.s6	52^d30'22."2	14^h18^m03.s5	52^d30'22."6	1.160	1."1 x 0."9	
EGS12011767	ACD	7.7	14^h18^m24.s8	52^d32'55."4	14^h18^m24.s7	52^d32'54."8	1.282	2."0 x 1."6	
EGS12012083	CD	7.0	14^h17^m56.s8	52^d32'00."3	14^h17^m56.s8	52^d31'59."4	1.119	3."6 x 2."6	
EGS12015684	D	7.0	14^h18^m42.s1	52^d36'20."1	14^h18^m42.s0	52^d36'20."4	1.374	4."2 x 2."7	
EGS12020405	D	4.2	14^h18^m05.s0	52^d40'25."3	14^h18^m05.s0	52^d40'26."2	1.379	6."3 x 3."0	
EGS12023832	D	12.2	14^h19^m06.s1	52^d43'12."3	14^h19^m06.s1	52^d43'11."1	1.351	3."7 x 2."9	
EGS12024462	D	14.5	14^h18^m37.s5	52^d44'19."0	14^h18^m37.s4	52^d44'18."8	1.398	4."1 x 3."0	
EGS12024866	C	7.2	14^h18^m19.s3	52^d42'21."5	14^h18^m19.s2	52^d42'21."1	1.002	1."8 x 1."5	
EGS12028325	C	18.0	14^h18^m59.s2	52^d47'16."9	14^h18^m59.s2	52^d47'16."9	1.159	1."8 x 1."6	
EGS13003805	AC	9.5	14^h19^m40.s1	52^d49'39."1	14^h19^m40.s1	52^d49'38."5	1.230	0."8 x 0."6	
EGS13004291	AD	7.3	14^h19^m15.s0	52^d49'29."9	14^h19^m15.s0	52^d49'30."0	1.145	0."7 x 0."6	
EGS13004661	CD	21.8	14^h18^m40.s9	52^d48'36."2	14^h18^m40.s8	52^d48'35."4	1.192	2."1 x 1."8	
EGS13004684	C	8.0	14^h18^m55.s8	52^d47'49."5	14^h18^m55.s8	52^d47'49."9	1.014	1."8 x 1."4	
EGS13011148	C	7.2	14^h19^m29.s8	52^d53'13."6	14^h19^m29.s8	52^d53'13."3	1.173	1."9 x 1."6	
EGS13011155	D	5.9	14^h19^m41.s6	52^d52'56."5	14^h19^m41.s6	52^d52'55."6	1.012	3."1 x 2."5	
EGS13011166	ABC	31.4	14^h19^m45^s	52^d52'28"	14^h19^m45.s2	52^d52'27."3	1.529	0."8 x 0."7	
EGS13011439	C	7.1	14^h19^m09.s5	52^d53'06."4	14^h19^m09.s4	52^d53'05."4	1.099	1."6 x 1."6	
EGS13017614	D	9.3	14^h20^m24.s3	52^d55'41."3	14^h20^m24.s2	52^d55'41."4	1.180	3."1 x 2."5	
EGS13017707	C	11.4	14^h20^m13^s	52^d55'34"	14^h20^m13.s0	52^d55'33."1	1.037	1."6 x 1."5	
EGS13017843	D	10.8	14^h20^m18.s9	52^d56'05."1	14^h20^m18.s9	52^d56'06."3	1.052	3."3 x 3."0	
EGS13017973	C	8.9	14^h20^m13.s1	52^d56'13."7	14^h20^m13.s0	52^d56'13."3	1.031	2."0 x 1."5	
EGS13018076	CD	12."7	14^h20^m10.s8	52^d53'41."5	14^h20^m10.s8	52^d53'41."9	1.227	2."2 x 1."8	
EGS13018312	D	9.2	14^h19^m58.s3	52^d55'49."4	14^h19^m58.s2	52^d55'48."9	1.105	3."8 x 2."7	
EGS13018632	D	16.8	14^h19^m49.s1	52^d56'39."2	14^h19^m49.s0	52^d56'38."8	1.229	3."7 x 3."0	
EGS13019114	D	10.9	14^h19^m41.s1	52s56'16."3	14^h19^m41.s1	52s56'16."6	1.105	3."2 x 2."6	
EGS13019128	ABCD	22.8	14^h19^m38.s1	52^d55'40."9	14^h19^m38.s1	52^d55'40."5	1.350	1."9 x 1."5	
EGS13026117	AD	16.3	14^h20^m26.s5	52^d59'39."6	14^h20^m26.s4	52^d59'39."3	1.241	0."8 x 0."5	
EGS13033624	D	2.3	14^h20^m48^s	53^d03'45"	14^h20^m47.s6	53^d03'49."4	1.317	4."0 x 2."9	
EGS13033731	D	24.8	14^h20^m43.s3	53^d03'48."5	14^h20^m43.s4	53^d03'49."4	1.317	4."0 x 2."9	
EGS13034445	D	6.5	14^h20^m30.s8	53^d01'48."5	14^h20^m30.s6	53^d01'48."3	1.168	3."8 x 2."6	
EGS13034339	D	12.5			14^h20^m21.s9	53^d02'22."2	1.440	4."0 x 3."2	
EGS13034541	D	12.5			14^h20^m22.s2	53^d02'14."8	1.442	4."0 x 3."2	
EGS13034542	D	12.5	14^h20^m21.s2	53^d02'14."8	14^h20^m21.s2	53^d02'12."7	1.435	4."0 x 3."2	
EGS13035123	ABCD	14.3	14^h20^m05.s5	53^d01'15."6	14^h20^m05.s4	53^d01'15."3	1.115	0."8 x 0."6	
EGS13042293	C	10.4	14^h20^m40.s8	53^d04'59."2	14^h20^m40.s8	53^d04'59."1	1.393	2."0 x 1."8	
zC406690	D	16.6	09^h58^m59.s1	02^d05'04."2	09^h58^m59.s1	02^d05'04."0	2.196	5."4 x 4."3	
HDF-BX1439	D	9.3	12^h36^m53.s7	62^d17'24."3	12^h36^m53.s7	62^d17'22."8	2.187	5."2 x 4."0	
Q1623-MD66	D	4.5	16^h25^m40.s4	26^d50'08."9	 ... 	 ... 	 ... 	4."8 x 4."1	
Q1623-BX453	BC	12.8	16^h25^m50.s8	26^d49'31."4	16^h25^m50.s9	26^d49'31."1	2.182	1."6 x 1."1	
Q1623-BX528	D	12.2	16^h25^m56.s4	26^d50'15."4	16^h25^m56.s6	26^d50'13."8	2.268	4."8 x 3."9	
Q1623-BX599	BCD	26.1	16^h26^m02.s5	26^d45'31."9	16^h26^m02.s6	26^d45'31."2	2.330	2."1 x 1."8	
Q1623-BX663	C	4.8	16^h26^m04.s6	26^d48'00."2	16^h26^m04.s6	26^d47'59."9	 ... 	2."7 x 2."5	
